namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,d13dbd17-b42a-47d5-bb59-36eb51113480,T1.Q1.A11,Colorful but not misleading in any way,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,a3fd6443-278e-4d6c-8562-3d87bf4c7d6e,T1.Q1.A12,Other problem with language,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",f1551303-a49a-474e-9542-d9c8395360b2,T1.Q1,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",13,36d6e389-179c-4076-8169-e0fd051dc45a,T1.Q1.A13,Nothing wrong with language,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",0e928a82-bbe9-4e13-9604-c8bfdcc09927,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,cdbcb6a2-89f1-4ac0-bec6-a95656ccd5f3,T1.Q2.A1,EXTREMELY excessive/inappropriate,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",0e928a82-bbe9-4e13-9604-c8bfdcc09927,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,7332b9f9-487f-4ffa-ac77-735a64fd87ea,T1.Q2.A2,CONSIDERABLY excessive/inappropriate,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",0e928a82-bbe9-4e13-9604-c8bfdcc09927,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,bb3526d5-26d6-4061-9b63-e5aa5fe03c1b,T1.Q2.A3,SOMEWHAT excessive/inappropriate,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",0e928a82-bbe9-4e13-9604-c8bfdcc09927,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,4e6ff58a-a8f6-4f8d-8392-bcd48f170486,T1.Q2.A4,MILDLY excessive/inappropriate,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",0e928a82-bbe9-4e13-9604-c8bfdcc09927,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,2e5ba39d-1fa5-468b-a7f8-bd98bb911dc9,T1.Q2.A5,NOT AT ALL excessive/inappropriate,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",15f25375-bdca-4300-9877-1cc4743fed90,T1.Q3,How much does the exaggeration misrepresent reality?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,f1b2b05d-15d6-4b62-ade0-b3db80de840d,T1.Q3.A1,Enormous misrepresentation,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",15f25375-bdca-4300-9877-1cc4743fed90,T1.Q3,How much does the exaggeration misrepresent reality?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,0c1f417a-f882-41c3-a21c-7a1bb96483d9,T1.Q3.A2,Considerable misrepresentation,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",15f25375-bdca-4300-9877-1cc4743fed90,T1.Q3,How much does the exaggeration misrepresent reality?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,1f7224ba-4677-4f26-a5a4-63340708b2d0,T1.Q3.A3,Some misrepresentation,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",15f25375-bdca-4300-9877-1cc4743fed90,T1.Q3,How much does the exaggeration misrepresent reality?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,486436e2-e9f4-4cc3-a16b-6913aa2375a5,T1.Q3.A4,Minor misrepresentation,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",15f25375-bdca-4300-9877-1cc4743fed90,T1.Q3,How much does the exaggeration misrepresent reality?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,33352518-e122-4620-97c2-30fdebfb9319,T1.Q3.A5,The exaggeration could not possibly mislead anyone,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",5630e9df-b163-4637-a595-cbf9efe9e562,T1.Q4,To what degree is the scandalous content being used to distract from other important and relevant issues?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,0483383b-5ad7-4403-b4d2-54fc5eb70259,T1.Q4.A1,Totally,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",5630e9df-b163-4637-a595-cbf9efe9e562,T1.Q4,To what degree is the scandalous content being used to distract from other important and relevant issues?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,ea88a85a-ed88-45eb-95df-407352d92efa,T1.Q4.A2,Very much,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",5630e9df-b163-4637-a595-cbf9efe9e562,T1.Q4,To what degree is the scandalous content being used to distract from other important and relevant issues?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,f8c19e01-51e1-4d6c-a339-63e9015a727c,T1.Q4.A3,Moderately,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",5630e9df-b163-4637-a595-cbf9efe9e562,T1.Q4,To what degree is the scandalous content being used to distract from other important and relevant issues?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,5100d609-3f4b-48dc-aa31-b2e62790eb7c,T1.Q4.A4,Somewhat,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",5630e9df-b163-4637-a595-cbf9efe9e562,T1.Q4,To what degree is the scandalous content being used to distract from other important and relevant issues?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,20beb422-da44-46e3-b44d-af395ca29c65,T1.Q4.A5,Slightly or not at all,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d1209130-0233-4d86-b70e-eff4705bb3aa,T1.Q5,How strong is the emotional tone?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,1d23cf36-0046-43f4-8ba8-5e8bf0c68488,T1.Q5.A1,Very strong,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d1209130-0233-4d86-b70e-eff4705bb3aa,T1.Q5,How strong is the emotional tone?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,94e9bebe-3d10-43e5-942f-699e8f7ef86e,T1.Q5.A2,Somewhat strong,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d1209130-0233-4d86-b70e-eff4705bb3aa,T1.Q5,How strong is the emotional tone?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,59eca4ef-020b-429a-badc-4fa534750ca5,T1.Q5.A3,Moderate,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d1209130-0233-4d86-b70e-eff4705bb3aa,T1.Q5,How strong is the emotional tone?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,e47fc810-47d2-4c55-9208-e870215bcee3,T1.Q5.A4,Mild,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",d1209130-0233-4d86-b70e-eff4705bb3aa,T1.Q5,How strong is the emotional tone?,RADIO,,,ordinal,"{""version"": ""4"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",5,95f6d807-fdf4-451d-8fe0-3931144f7fe6,T1.Q5.A5,Very mild,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",a6f8edd0-6f71-4f0b-bc16-48ecfa9a9a88,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,a3b26b55-4850-49fe-a67c-86b3646217b6,T1.Q6.A1,Disgust,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",a6f8edd0-6f71-4f0b-bc16-48ecfa9a9a88,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,19ce1288-fd64-44fe-8c03-11cd54c7af47,T1.Q6.A2,Contempt,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",a6f8edd0-6f71-4f0b-bc16-48ecfa9a9a88,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,ff0be66b-2e7b-410b-8186-26aa829631c2,T1.Q6.A3,"Outrage, indignation",,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",a6f8edd0-6f71-4f0b-bc16-48ecfa9a9a88,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,8d79727b-e7fe-4e00-af7f-2a325819a710,T1.Q6.A4,"Fear, threat",,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",a6f8edd0-6f71-4f0b-bc16-48ecfa9a9a88,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,71afb961-2665-4e1c-9694-5c4bcc1b1ea1,T1.Q6.A5,"Vindictiveness, spite",,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Language_2020_09_20,38d017281682f4e1189219a84fea5b897a22a32e05226b87e638d02d150b509f,5cccf209-8590-405d-bb91-216e07f2b031,Language Specialist V4,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",a6f8edd0-6f71-4f0b-bc16-48ecfa9a9a88,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,1832fdc7-aaea-4a6b-a4e0-fdd1f984831f,T1.Q6.A6,Sadness,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
